,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK,pemuda,dewasa,lansia,Pengangguran,Kerah Biru,Kerah Putih,Profesional,Tidak Sekolah,Sekolah,Universitas,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
68,36.01.13.2016,36.01.13,36.01,36,1496,516,387,447,214,276,391,381,0,372,1033,91,1496,0,1496,0,0,0,0,0,0
69,36.01.14.2001,36.01.14,36.01,36,2489,815,618,663,355,599,918,437,2,801,1602,86,2488,1,2488,1,0,0,0,0,0
70,36.01.14.2003,36.01.14,36.01,36,3699,1232,985,985,507,843,1429,734,0,1128,2506,65,3699,0,3699,0,0,0,0,0,0
71,36.01.14.2004,36.01.14,36.01,36,3901,1281,1079,1055,528,953,1388,770,3,1086,2723,92,3901,0,3901,0,0,0,0,0,0
72,36.01.14.2005,36.01.14,36.01,36,2354,819,641,644,357,460,861,452,2,664,1637,53,2354,0,2354,0,0,0,0,0,0
73,36.01.14.2006,36.01.14,36.01,36,2690,884,673,727,390,635,750,638,1,816,1743,131,2689,1,2689,0,1,0,0,0,0
74,36.01.14.2007,36.01.14,36.01,36,5186,1706,1402,1414,661,1306,1539,1088,6,1561,3499,126,5182,4,5182,4,0,0,0,0,0
75,36.01.15.2004,36.01.15,36.01,36,2237,782,641,568,296,492,758,517,4,659,1566,12,2237,0,2237,0,0,0,0,0,0
76,36.01.14.2010,36.01.14,36.01,36,2886,919,673,792,482,570,1106,519,2,822,2009,55,2885,1,2885,1,0,0,0,0,0
77,36.01.15.2005,36.01.15,36.01,36,2139,708,563,536,327,559,695,462,2,631,1470,38,2139,0,2139,0,0,0,0,0,0
78,36.01.14.2014,36.01.14,36.01,36,2977,967,724,799,372,486,1189,591,1,900,1989,88,2977,0,2977,0,0,0,0,0,0
79,36.01.15.2003,36.01.15,36.01,36,2806,910,777,734,351,706,764,640,0,880,1897,29,2806,0,2806,0,0,0,0,0,0
80,36.01.15.2007,36.01.15,36.01,36,4134,1428,1080,1118,605,1161,1256,988,4,1156,2866,112,4124,10,4124,10,0,0,0,0,0
81,36.01.15.2009,36.01.15,36.01,36,4195,1485,1158,1067,548,979,1438,941,0,1251,2898,46,4195,0,4195,0,0,0,0,0,0
82,36.01.15.2010,36.01.15,36.01,36,2356,795,617,586,390,562,1018,395,0,643,1700,13,2356,0,2356,0,0,0,0,0,0
83,36.01.16.2002,36.01.16,36.01,36,4975,1682,1381,1335,624,1146,1479,1192,2,1519,3231,225,4975,0,4975,0,0,0,0,0,0
84,36.01.16.2003,36.01.16,36.01,36,2390,841,644,648,365,514,792,646,0,674,1654,62,2390,0,2390,0,0,0,0,0,0
85,36.01.16.2004,36.01.16,36.01,36,1700,592,437,489,260,332,532,479,0,477,1178,45,1700,0,1700,0,0,0,0,0,0
86,36.01.16.2011,36.01.16,36.01,36,2810,952,733,748,391,531,907,650,2,841,1878,91,2810,0,2810,0,0,0,0,0,0
87,36.01.16.2014,36.01.16,36.01,36,2117,709,639,481,293,543,753,334,0,684,1399,34,2117,0,2117,0,0,0,0,0,0
88,36.01.16.2015,36.01.16,36.01,36,1243,472,326,360,193,236,504,223,0,340,882,21,1243,0,1243,0,0,0,0,0,0
89,36.01.17.2001,36.01.17,36.01,36,4199,1299,1153,1119,428,1067,1429,717,0,1331,2796,72,4199,0,4199,0,0,0,0,0,0
90,36.01.17.2004,36.01.17,36.01,36,2503,830,656,676,353,681,785,586,12,749,1673,81,2503,0,2503,0,0,0,0,0,0
91,36.01.17.2005,36.01.17,36.01,36,3638,1128,955,966,482,775,1219,690,3,1084,2421,133,3638,0,3638,0,0,0,0,0,0
92,36.01.17.2006,36.01.17,36.01,36,4166,1437,1114,1066,576,1048,1276,718,4,1290,2774,102,4166,0,4166,0,0,0,0,0,0
93,36.01.17.2012,36.01.17,36.01,36,3559,1170,902,971,429,804,1212,602,0,1100,2419,40,3559,0,3559,0,0,0,0,0,0
94,36.01.17.2008,36.01.17,36.01,36,3621,1241,967,1051,432,886,1537,446,2,1141,2442,38,3621,0,3621,0,0,0,0,0,0
95,36.01.17.2010,36.01.17,36.01,36,3361,1093,976,844,454,993,1080,821,2,1029,2279,53,3360,1,3360,1,0,0,0,0,0
96,36.01.17.2014,36.01.17,36.01,36,2515,813,644,695,317,672,1061,310,0,818,1661,36,2514,1,2514,1,0,0,0,0,0
97,36.01.17.2015,36.01.17,36.01,36,3613,1110,965,1003,350,890,1077,757,3,1126,2289,198,3609,4,3609,4,0,0,0,0,0
98,36.01.18.2001,36.01.18,36.01,36,5424,1746,1520,1352,754,1394,1761,1193,8,1570,3733,121,5422,2,5422,2,0,0,0,0,0
99,36.01.18.2003,36.01.18,36.01,36,5257,1753,1460,1372,658,1150,1477,1429,1,1590,3574,93,5257,0,5257,0,0,0,0,0,0
100,36.01.18.2004,36.01.18,36.01,36,3068,939,844,756,407,742,938,649,1,884,2121,63,3067,1,3067,1,0,0,0,0,0
101,36.01.18.2007,36.01.18,36.01,36,4281,1348,1125,1096,591,1032,1195,1059,6,1280,2892,109,4281,0,4281,0,0,0,0,0,0
