,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK,pemuda,dewasa,lansia,Pengangguran,Kerah Biru,Kerah Putih,Profesional,Tidak Sekolah,Sekolah,Universitas,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
403,36.03.08.2009,36.03.08,36.03,36,7076,2385,2104,2138,801,1533,3909,794,4,1832,5136,108,6975,101,6975,7,17,0,77,0,0
404,36.03.08.2010,36.03.08,36.03,36,7795,2657,2241,2484,898,1611,2065,2696,23,1879,5496,420,7778,17,7778,10,0,0,6,0,1
405,36.03.08.2011,36.03.08,36.03,36,7087,2210,2334,1848,743,1514,2521,1447,11,1854,5079,154,7078,9,7078,4,0,0,5,0,0
406,36.03.13.2003,36.03.13,36.03,36,9729,3355,2941,2981,999,1545,3321,2105,5,2972,6578,179,9677,52,9677,27,4,1,20,0,0
407,36.03.08.2012,36.03.08,36.03,36,5977,2094,1795,1786,760,1378,2898,1072,1,1422,4446,109,5922,55,5922,19,0,0,35,0,1
408,36.03.09.2001,36.03.09,36.03,36,4018,1351,1198,1144,450,1158,1557,577,4,1383,2587,48,4017,1,4017,0,0,0,1,0,0
409,36.03.09.2002,36.03.09,36.03,36,3883,1285,1195,1085,402,994,1552,630,1,1349,2501,33,3882,1,3882,0,1,0,0,0,0
410,36.03.09.2004,36.03.09,36.03,36,9471,3199,2907,2513,1032,2254,3113,2125,8,2980,6289,202,9460,11,9460,2,6,0,3,0,0
411,36.03.09.2006,36.03.09,36.03,36,9308,3106,2955,2449,987,2500,3120,2085,16,3025,6097,186,9308,0,9308,0,0,0,0,0,0
412,36.03.10.2002,36.03.10,36.03,36,7535,2533,2059,2320,894,1805,2056,2317,27,2019,5091,425,7514,21,7514,1,6,0,13,0,1
413,36.03.11.1010,36.03.11,36.03,36,20488,6625,5947,6793,1571,3978,4881,6211,23,5692,14129,667,19737,751,19737,542,158,33,17,0,1
414,36.03.11.2001,36.03.11,36.03,36,11980,3922,3014,4307,854,2590,3028,3323,25,3359,8249,372,11537,443,11537,347,74,0,21,1,0
415,36.03.11.2002,36.03.11,36.03,36,7321,2448,2100,2279,594,1410,1850,1655,12,2453,4637,231,7122,199,7122,145,38,0,15,1,0
416,36.03.11.2005,36.03.11,36.03,36,5945,1970,1774,1723,576,1199,1872,1195,10,1855,4007,83,5943,2,5943,1,0,0,0,0,1
417,36.03.11.2007,36.03.11,36.03,36,15356,5232,4966,4474,1200,3060,4557,2975,18,4917,10028,411,14816,540,14816,447,69,0,19,2,3
418,36.03.11.2009,36.03.11,36.03,36,4896,1677,1510,1488,518,1015,1689,1176,4,1475,3346,75,4889,7,4889,6,1,0,0,0,0
419,36.03.11.2014,36.03.11,36.03,36,26281,8162,6541,9650,1478,5289,5673,7597,34,7896,17507,878,24921,1360,24921,898,357,56,35,0,14
420,36.03.12.1012,36.03.12,36.03,36,29008,9197,6497,11377,1755,5422,4030,11437,57,8553,18669,1786,25824,3184,25824,1860,879,84,347,1,13
421,36.03.12.1014,36.03.12,36.03,36,29225,9259,7982,9307,3887,4387,5393,10830,105,7322,19175,2728,23297,5928,23297,3299,1267,176,1176,2,8
422,36.03.13.2005,36.03.13,36.03,36,15225,5316,4590,4600,1709,2475,6096,3751,15,4141,10877,207,13369,1856,13369,542,122,1,1163,28,0
423,36.03.13.2006,36.03.13,36.03,36,16134,5318,4700,5004,1746,2587,4932,4349,32,4174,10889,1071,13650,2484,13650,769,264,15,1414,22,0
424,36.03.13.2007,36.03.13,36.03,36,10787,3703,3109,3268,1318,1783,3685,2936,16,2849,7491,447,8602,2185,8602,622,105,4,1425,29,0
425,36.03.22.2006,36.03.22,36.03,36,7193,2496,2085,2247,804,1433,2194,1789,16,1705,4902,586,6652,541,6652,257,200,5,78,1,0
426,36.03.13.2010,36.03.13,36.03,36,7751,2839,2342,2489,807,1460,4310,1203,10,2317,5340,94,7601,150,7601,11,1,0,138,0,0
427,36.03.13.2013,36.03.13,36.03,36,11444,4012,3452,3449,1238,2267,4344,2738,10,3255,7955,234,10562,882,10562,188,20,1,667,6,0
428,36.03.14.1003,36.03.14,36.03,36,15026,5001,4329,4561,1718,2419,5205,3788,7,4223,10431,372,13450,1576,13450,1098,187,1,290,0,0
429,36.03.14.2004,36.03.14,36.03,36,5282,1851,1602,1633,575,824,2318,1056,0,1931,3301,50,5166,116,5166,28,7,0,79,2,0
430,36.03.14.2005,36.03.14,36.03,36,8250,2880,2460,2524,923,1907,4560,2934,2,2408,5619,223,8134,116,8134,13,3,0,100,0,0
431,36.03.14.2006,36.03.14,36.03,36,8745,2962,2505,2682,997,1703,3736,2276,11,2815,5762,168,8381,364,8381,40,4,0,318,0,2
432,36.03.14.2008,36.03.14,36.03,36,12271,4106,3550,3785,1244,1732,4876,2558,10,3764,8363,144,10454,1817,10454,336,39,1,1418,23,0
433,36.03.14.2009,36.03.14,36.03,36,7353,2430,1946,2382,756,1182,2231,1956,11,2046,5020,287,5465,1888,5465,855,182,7,838,6,0
434,36.03.15.2002,36.03.15,36.03,36,6583,2320,1966,1990,784,1601,2257,1561,21,2000,4350,233,6572,11,6572,10,1,0,0,0,0
435,36.03.15.2003,36.03.15,36.03,36,6096,2181,1810,1964,576,1262,2363,1076,4,2389,3631,76,6093,3,6093,2,1,0,0,0,0
436,36.03.15.2004,36.03.15,36.03,36,6828,2425,2030,2141,702,1482,2762,1103,14,2409,4322,97,6821,7,6821,7,0,0,0,0,0
437,36.03.15.2006,36.03.15,36.03,36,6982,2418,2066,2128,674,1597,2584,1132,15,2724,4166,92,6976,6,6976,4,1,1,0,0,0
438,36.03.15.2007,36.03.15,36.03,36,8375,2992,2570,2591,811,1678,3461,1676,8,3092,5165,118,8228,147,8228,45,13,0,89,0,0
439,36.03.15.2008,36.03.15,36.03,36,6399,2167,1993,1859,598,1851,3235,991,1,2686,3667,46,6366,33,6366,16,0,0,17,0,0
440,36.04.05.2015,36.04.05,36.04,36,7985,2308,2202,2341,960,1793,1600,1882,27,2226,4208,1551,7395,590,7395,361,180,21,28,0,0
441,36.03.15.2011,36.03.15,36.03,36,7805,2572,2408,2255,762,2040,4259,1248,14,2981,4668,156,7673,132,7673,71,17,0,41,3,0
442,36.03.15.2012,36.03.15,36.03,36,12533,4354,4105,3590,1108,2855,4271,2618,6,4781,7644,108,12525,8,12525,1,1,0,6,0,0
443,36.03.15.2013,36.03.15,36.03,36,5202,1800,1662,1505,540,1279,1591,1311,9,1840,3257,105,5190,12,5190,6,5,0,1,0,0
444,36.03.15.2014,36.03.15,36.03,36,9279,3144,2832,2851,851,1958,3583,1840,5,3424,5797,58,8919,360,8919,29,11,1,319,0,0
445,36.03.16.1001,36.03.16,36.03,36,11635,4112,3432,3556,1110,2406,2867,3922,38,3180,7842,613,11245,390,11245,178,53,6,152,1,0
446,36.03.16.2002,36.03.16,36.03,36,18992,6503,5220,6398,1532,3911,4494,6670,26,5172,12981,839,18236,756,18236,417,243,10,86,0,0
447,36.03.16.2003,36.03.16,36.03,36,11595,4163,3279,3702,1170,2250,3348,3446,11,3184,8170,241,11502,93,11502,57,27,1,8,0,0
448,36.03.16.2008,36.03.16,36.03,36,10094,3499,3007,3067,910,1978,2390,3274,25,2750,6719,625,9747,347,9747,210,67,2,68,0,0
449,36.03.16.2012,36.03.16,36.03,36,7793,2757,2568,2317,723,1710,2435,2394,5,2058,5567,168,7774,19,7774,12,1,0,5,0,1
450,36.03.16.2015,36.03.16,36.03,36,10423,3626,2968,3274,1058,2124,3177,2939,25,2885,7267,271,10303,120,10303,86,8,1,25,0,0
451,36.03.17.1005,36.03.17,36.03,36,16003,5393,4495,5187,1332,3081,3356,5259,58,4326,10234,1443,14384,1619,14384,887,281,13,431,5,2
452,36.03.17.1006,36.03.17,36.03,36,51825,17663,15124,16477,6441,7688,10094,19376,266,10942,33319,7564,41740,10085,41740,5906,2873,125,1164,17,0
453,36.03.17.2002,36.03.17,36.03,36,13166,4477,3696,4218,1357,2634,3584,3525,17,3419,9249,498,11733,1433,11733,452,112,11,857,1,0
454,36.03.17.2003,36.03.17,36.03,36,26088,9232,7201,9423,1695,5019,5247,10315,32,6583,18261,1244,24872,1216,24872,608,334,9,265,0,0
455,36.03.17.2004,36.03.17,36.03,36,15899,5609,4316,5660,1131,3046,3192,6138,11,4125,11315,459,15432,467,15432,290,94,6,77,0,0
456,36.03.18.1001,36.03.18,36.03,36,22248,7533,5831,7769,1258,3965,4238,7985,39,6133,15205,910,21366,882,21366,468,321,15,77,0,1
457,36.03.18.2002,36.03.18,36.03,36,9778,3409,2691,3194,866,1968,2488,3245,15,2593,6941,244,9635,143,9635,87,39,1,16,0,0
458,36.03.18.2005,36.03.18,36.03,36,16679,6229,4772,5707,974,3612,2954,6810,19,4509,11579,591,16224,455,16224,329,54,1,66,1,4
459,36.03.18.2010,36.03.18,36.03,36,15709,5384,4179,5660,980,3051,3238,6474,19,4182,10991,536,15327,382,15327,257,88,0,36,1,0
460,36.03.18.2013,36.03.18,36.03,36,4731,1680,1494,1369,403,998,1317,1440,1,1428,3246,57,4708,23,4708,16,1,0,6,0,0
461,36.03.18.2014,36.03.18,36.03,36,13354,4607,3849,4320,1061,2807,2935,4939,11,3699,9345,310,13192,162,13192,132,18,0,12,0,0
462,36.03.19.2003,36.03.19,36.03,36,9951,3369,2936,3060,835,2165,2864,2581,5,2782,6931,238,9649,302,9649,165,89,0,44,4,0
463,36.03.20.2006,36.03.20,36.03,36,12418,4023,3362,3934,1058,2685,3214,3256,37,3498,7689,1231,11352,1066,11352,711,246,15,91,3,0
464,36.03.19.2004,36.03.19,36.03,36,7060,2419,2144,1905,694,1632,2623,1234,6,2204,4743,113,6773,287,6773,46,20,0,218,3,0
465,36.03.19.2006,36.03.19,36.03,36,6967,2247,2077,1834,729,1873,2330,1395,2,2239,4614,114,6647,320,6647,31,14,0,274,1,0
466,36.03.19.2007,36.03.19,36.03,36,26935,8495,5879,9658,1665,6232,5871,8029,64,8578,15742,2615,22725,4210,22725,1905,919,56,1292,35,3
467,36.03.19.2008,36.03.19,36.03,36,16042,5225,4155,5452,1016,3537,3944,4426,15,4818,10603,621,14620,1422,14620,719,328,10,257,108,0
468,36.03.20.1011,36.03.20,36.03,36,12413,3969,3075,4117,1000,2613,2930,3541,17,3420,8270,723,11664,749,11664,409,163,9,168,0,0
469,36.03.20.2005,36.03.20,36.03,36,5755,1867,1926,1379,544,1251,2417,642,2,1719,3992,44,5689,66,5689,4,3,0,58,1,0
470,36.03.20.2007,36.03.20,36.03,36,11045,3470,2902,3325,995,2551,3180,2658,10,3203,7636,206,10545,500,10545,212,31,0,254,3,0
471,36.03.20.2009,36.03.20,36.03,36,12872,4168,3227,4189,1288,2660,3356,3638,21,3445,8805,622,12602,270,12602,183,65,14,8,0,0
472,36.03.22.1004,36.03.22,36.03,36,17446,5624,4205,6307,1522,3052,3785,5802,71,4077,10253,3116,13869,3577,13869,1836,1204,64,470,3,0
473,36.03.22.2002,36.03.22,36.03,36,6098,2017,1920,1711,645,1217,2048,1267,4,1560,4270,268,5975,123,5975,49,38,2,34,0,0
474,36.03.22.2007,36.03.22,36.03,36,7854,2639,2322,2349,889,1732,3033,1522,8,1952,5512,390,7335,519,7335,185,126,1,204,0,3
475,36.03.22.2011,36.03.22,36.03,36,6904,2346,2106,2057,631,1579,2287,1436,9,1583,5143,178,6677,227,6677,106,30,0,91,0,0
476,36.03.23.2003,36.03.23,36.03,36,6241,2031,2134,1498,613,1816,2613,934,6,1950,4250,41,6236,5,6236,1,2,0,2,0,0
477,36.03.23.2005,36.03.23,36.03,36,25649,7927,6483,8758,1982,5736,5529,7702,66,6978,16177,2494,23478,2171,23478,1466,352,22,320,11,0
478,36.03.23.2009,36.03.23,36.03,36,6023,1983,1915,1522,596,1557,2231,935,1,1964,4004,55,5590,433,5590,95,10,1,322,4,1
479,36.03.27.2003,36.03.27,36.03,36,8541,2916,2493,2609,1003,2171,2753,2132,10,2275,6073,193,8518,23,8518,10,9,0,4,0,0
480,36.03.27.2008,36.03.27,36.03,36,5671,2065,1861,1618,722,1268,2231,1306,3,1323,4292,56,5669,2,5669,0,2,0,0,0,0
481,36.03.28.1001,36.03.28,36.03,36,25951,8193,7260,7863,3489,3590,5086,9122,137,5437,15618,4896,22609,3342,22609,1686,1048,34,565,7,2
482,36.03.28.1003,36.03.28,36.03,36,10760,3453,3211,3008,2039,1245,1395,4355,194,1870,5411,3479,7223,3537,7223,2164,901,73,399,0,0
483,36.03.28.1005,36.03.28,36.03,36,45214,14602,12696,14145,5460,7061,9521,15887,282,10340,28684,6190,39001,6213,39001,3506,1524,118,1058,5,2
484,36.03.28.2006,36.03.28,36.03,36,12063,4017,2917,4280,1438,1821,2778,3847,83,2826,6305,2932,5787,6276,5787,2725,2324,22,1196,9,0
485,36.03.29.2001,36.03.29,36.03,36,8030,2746,2546,2240,858,1693,2658,2187,0,2839,5132,59,8009,21,8009,16,4,0,1,0,0
486,36.03.29.2002,36.03.29,36.03,36,16935,5433,4429,5533,1253,3516,4287,5202,58,5654,10195,1086,16272,663,16272,409,141,25,88,0,0
487,36.03.29.2004,36.03.29,36.03,36,9603,3172,3127,2557,898,2101,3185,2042,6,3287,6183,133,9602,1,9602,0,1,0,0,0,0
488,36.03.29.2007,36.03.29,36.03,36,5851,1860,1851,1447,598,1424,2128,1087,4,1959,3834,58,5851,0,5851,0,0,0,0,0,0
489,36.03.30.2001,36.03.30,36.03,36,10814,3621,3264,3108,1138,2356,3379,2625,9,3083,7435,296,8629,2185,8629,362,37,1,1782,3,0
490,36.03.30.2004,36.03.30,36.03,36,8024,2674,2593,2285,883,1849,2766,1855,4,2703,5175,146,8019,5,8019,5,0,0,0,0,0
491,36.03.30.2007,36.03.30,36.03,36,6778,2322,2174,2010,586,1482,2693,1136,0,2029,4705,44,6664,114,6664,33,1,0,80,0,0
492,36.03.31.2002,36.03.31,36.03,36,12844,4206,3828,3560,1310,2911,4358,2429,9,3582,8957,305,12413,431,12413,321,61,5,44,0,0
493,36.03.32.2004,36.03.32,36.03,36,4003,1462,1246,1122,513,1016,1868,520,2,1373,2572,58,4003,0,4003,0,0,0,0,0,0
494,36.03.31.2005,36.03.31,36.03,36,5175,1734,1647,1326,546,1246,2056,820,2,1474,3638,63,5174,1,5174,1,0,0,0,0,0
495,36.03.31.2006,36.03.31,36.03,36,18229,5833,4642,6274,1165,3595,4164,4975,27,5118,12605,506,17286,943,17286,685,203,18,37,0,0
496,36.03.32.2006,36.03.32,36.03,36,5661,2060,1755,1529,713,1453,2415,1065,1,1980,3630,51,5660,1,5660,1,0,0,0,0,0
497,36.03.33.2002,36.03.33,36.03,36,2996,1078,994,882,325,864,1117,655,0,961,1985,50,2996,0,2996,0,0,0,0,0,0
498,36.03.33.2004,36.03.33,36.03,36,3618,1323,1166,948,476,1029,1275,839,2,1209,2357,52,3618,0,3618,0,0,0,0,0,0
499,36.03.33.2007,36.03.33,36.03,36,6597,2485,2072,1898,816,1915,2330,1722,7,1751,4719,127,6596,1,6596,1,0,0,0,0,0
500,36.04.05.2001,36.04.05,36.04,36,9322,3117,2614,2539,1214,2727,2549,2585,37,2731,5460,1131,8934,388,8934,280,93,8,7,0,0
501,36.04.05.2003,36.04.05,36.04,36,9843,3039,2714,2899,872,3487,3397,1598,23,3225,6021,597,9644,199,9644,121,48,28,2,0,0
502,36.04.05.2004,36.04.05,36.04,36,3773,1240,1110,1074,468,1376,1423,526,3,1148,2470,155,3770,3,3770,3,0,0,0,0,0
503,36.04.05.2006,36.04.05,36.04,36,5009,1622,1226,1562,628,1532,1272,1284,15,1510,2959,540,4853,156,4853,107,36,2,11,0,0
504,36.04.05.2007,36.04.05,36.04,36,4266,1358,1245,1176,509,1151,1659,698,3,1283,2882,101,4259,7,4259,1,6,0,0,0,0
505,36.04.05.2008,36.04.05,36.04,36,3387,1024,1035,869,400,1096,1339,370,1,1066,2259,62,3387,0,3387,0,0,0,0,0,0
506,36.04.05.2009,36.04.05,36.04,36,4661,1524,1317,1319,575,1717,2177,362,2,1603,3025,33,4661,0,4661,0,0,0,0,0,0
507,36.04.05.2011,36.04.05,36.04,36,7964,2423,2495,2173,631,2259,2220,1154,8,2629,4799,536,7689,275,7689,225,27,19,3,1,0
508,36.04.06.2001,36.04.06,36.04,36,11785,3475,2851,3799,815,2946,3161,2378,18,4107,6387,1291,11276,509,11276,374,90,30,11,0,4
509,36.04.06.2002,36.04.06,36.04,36,2691,839,955,709,258,738,1041,251,0,927,1749,15,2691,0,2691,0,0,0,0,0,0
510,36.04.06.2003,36.04.06,36.04,36,3193,940,980,853,394,858,1065,413,2,972,2181,40,3193,0,3193,0,0,0,0,0,0
511,36.04.06.2004,36.04.06,36.04,36,2332,737,671,638,336,624,892,272,1,698,1558,76,2331,1,2331,1,0,0,0,0,0
512,36.04.06.2005,36.04.06,36.04,36,3146,1021,885,922,443,841,1236,372,0,990,2127,29,3145,1,3145,0,1,0,0,0,0
513,36.04.06.2007,36.04.06,36.04,36,3440,1051,960,941,385,964,1155,520,0,1222,2149,69,3436,4,3436,1,3,0,0,0,0
514,36.04.07.2002,36.04.07,36.04,36,4362,1362,1370,1163,395,1036,1499,599,10,1361,2790,211,4281,81,4281,66,13,0,2,0,0
515,36.04.07.2008,36.04.07,36.04,36,3121,996,848,915,359,787,1255,412,2,916,2145,60,3117,4,3117,4,0,0,0,0,0
516,36.04.07.2009,36.04.07,36.04,36,3051,1035,926,902,332,777,1459,176,0,874,2124,53,3051,0,3051,0,0,0,0,0,0
517,36.04.07.2010,36.04.07,36.04,36,3268,1118,964,976,338,977,1441,319,3,1057,2162,49,3268,0,3268,0,0,0,0,0,0
518,36.04.07.2011,36.04.07,36.04,36,2980,1083,904,962,329,757,1427,366,0,879,2070,31,2979,1,2979,1,0,0,0,0,0
519,36.04.08.2003,36.04.08,36.04,36,3258,975,957,883,357,906,1041,585,2,980,2109,169,3214,44,3214,35,5,4,0,0,0
520,36.04.08.2004,36.04.08,36.04,36,4697,1592,1164,1461,620,1161,2342,353,2,1400,3239,58,4697,0,4697,0,0,0,0,0,0
521,36.04.08.2005,36.04.08,36.04,36,4706,1564,1136,1545,513,1231,1940,758,1,1440,3187,79,4697,9,4697,4,5,0,0,0,0
522,36.04.08.2007,36.04.08,36.04,36,3832,1255,937,1160,555,1075,1867,304,0,1245,2485,102,3832,0,3832,0,0,0,0,0,0
523,36.04.08.2009,36.04.08,36.04,36,3070,1011,858,879,364,939,1986,156,0,1025,2017,28,3067,3,3067,3,0,0,0,0,0
524,36.04.09.2004,36.04.09,36.04,36,3646,1200,1054,1054,401,1030,1202,642,1,1094,2464,88,3646,0,3646,0,0,0,0,0,0
525,36.04.09.2005,36.04.09,36.04,36,5158,1673,1581,1380,638,1347,1997,710,3,1500,3506,152,5158,0,5158,0,0,0,0,0,0
526,36.04.09.2011,36.04.09,36.04,36,3712,1174,1176,988,414,1153,1538,343,0,1243,2450,19,3712,0,3712,0,0,0,0,0,0
527,36.04.09.2012,36.04.09,36.04,36,4152,1477,1318,1217,502,1100,1919,296,2,1215,2914,23,4152,0,4152,0,0,0,0,0,0
528,36.04.11.2003,36.04.11,36.04,36,3921,1250,1131,1112,307,1027,1345,556,0,1444,2382,95,3900,21,3900,19,2,0,0,0,0
529,36.04.09.2017,36.04.09,36.04,36,10862,3154,2245,4131,557,3527,2083,3467,18,3650,6471,741,9674,1188,9674,855,236,64,30,0,3
530,36.04.11.2007,36.04.11,36.04,36,10758,3526,2923,3386,957,2813,3506,2203,6,3289,7260,209,10629,129,10629,97,21,1,10,0,0
531,36.04.11.2008,36.04.11,36.04,36,4566,1533,1330,1318,544,1216,1831,716,0,1326,3172,68,4566,0,4566,0,0,0,0,0,0
532,36.04.11.2012,36.04.11,36.04,36,3257,1149,840,1044,397,782,1246,584,3,1028,2191,38,3256,1,3256,1,0,0,0,0,0
533,36.04.11.2014,36.04.11,36.04,36,3458,1108,963,963,350,804,1009,795,3,1125,2248,85,3452,6,3452,4,1,1,0,0,0
534,36.04.12.2003,36.04.12,36.04,36,4887,1711,1388,1443,596,1030,2393,439,10,1483,3269,135,4887,0,4887,0,0,0,0,0,0
535,36.04.12.2010,36.04.12,36.04,36,4424,1511,1181,1316,633,940,1718,929,13,1192,2936,296,4416,8,4416,2,0,0,6,0,0
536,36.04.12.2011,36.04.12,36.04,36,4367,1436,1262,1239,624,921,2015,485,0,1196,3113,58,4366,1,4366,0,1,0,0,0,0
537,36.04.12.2012,36.04.12,36.04,36,2434,852,736,693,293,503,1313,131,4,787,1613,34,2434,0,2434,0,0,0,0,0,0
538,36.04.12.2013,36.04.12,36.04,36,4242,1379,1237,1185,490,903,2056,325,2,1310,2890,42,4241,1,4241,0,1,0,0,0,0
539,36.04.13.2004,36.04.13,36.04,36,2925,928,890,776,389,570,1606,84,2,889,1993,43,2925,0,2925,0,0,0,0,0,0
540,36.04.13.2006,36.04.13,36.04,36,4814,1602,1448,1394,657,929,2390,409,22,1436,3170,208,4814,0,4814,0,0,0,0,0,0
541,36.04.13.2007,36.04.13,36.04,36,5792,2003,1713,1632,722,1009,3558,215,1,2029,3719,44,5792,0,5792,0,0,0,0,0,0
542,36.04.13.2009,36.04.13,36.04,36,1407,454,401,369,149,345,929,44,0,514,881,12,1407,0,1407,0,0,0,0,0,0
543,36.04.13.2010,36.04.13,36.04,36,2556,796,720,694,312,542,1194,177,6,904,1543,109,2556,0,2556,0,0,0,0,0,0
544,36.04.13.2013,36.04.13,36.04,36,2055,643,691,501,307,412,1039,140,3,642,1348,65,2055,0,2055,0,0,0,0,0,0
545,36.04.14.2001,36.04.14,36.04,36,2546,825,807,724,322,646,1064,181,3,956,1526,64,2546,0,2546,0,0,0,0,0,0
546,36.04.15.2013,36.04.15,36.04,36,16832,5170,4191,6162,1030,4592,3924,5006,9,4400,11843,589,15197,1635,15197,1191,405,6,33,0,0
547,36.04.14.2007,36.04.14,36.04,36,4916,1643,1573,1240,680,1454,2237,228,3,2202,2674,40,4915,1,4915,1,0,0,0,0,0
548,36.04.14.2008,36.04.14,36.04,36,5261,1691,1783,1324,708,1558,2767,234,0,2235,2967,59,5261,0,5261,0,0,0,0,0,0
549,36.04.14.2009,36.04.14,36.04,36,3727,1217,1180,955,492,869,1818,147,0,1618,2048,61,3727,0,3727,0,0,0,0,0,0
550,36.04.15.2001,36.04.15,36.04,36,17776,5695,5016,5530,1357,4668,4437,4321,16,5181,12035,560,16743,1033,16743,843,167,5,18,0,0
551,36.04.15.2003,36.04.15,36.04,36,5478,1752,1643,1463,557,1490,2349,614,0,1591,3811,76,5478,0,5478,0,0,0,0,0,0
552,36.04.15.2004,36.04.15,36.04,36,9116,2969,2421,2738,1003,2490,3199,1617,5,2568,6232,316,9081,35,9081,23,6,1,5,0,0
553,36.04.15.2005,36.04.15,36.04,36,6380,2124,1849,1812,758,1840,2841,565,0,1672,4660,48,6380,0,6380,0,0,0,0,0,0
554,36.04.15.2008,36.04.15,36.04,36,4658,1537,1498,1293,406,1290,1750,634,0,1335,3264,59,4656,2,4656,1,0,0,1,0,0
555,36.04.15.2009,36.04.15,36.04,36,7190,2358,2142,2200,430,1940,2050,1523,4,2165,4824,201,6759,431,6759,335,86,0,5,5,0
556,36.04.15.2010,36.04.15,36.04,36,4409,1492,1460,1217,482,1365,2000,267,1,1238,3121,50,4408,1,4408,1,0,0,0,0,0
557,36.04.15.2011,36.04.15,36.04,36,4698,1602,1521,1269,614,1495,1985,497,1,1326,3313,59,4698,0,4698,0,0,0,0,0,0
558,36.04.16.2001,36.04.16,36.04,36,7562,2582,2249,2264,700,2191,2423,1723,2,2233,5161,168,7510,52,7510,43,8,0,1,0,0
559,36.04.16.2003,36.04.16,36.04,36,4830,1634,1541,1260,513,1244,1621,910,1,1545,3240,45,4808,22,4808,16,4,0,2,0,0
560,36.04.17.2004,36.04.17,36.04,36,6179,2248,1578,1894,993,1654,2562,944,8,1951,4146,82,6179,0,6179,0,0,0,0,0,0
561,36.04.16.2006,36.04.16,36.04,36,5052,1677,1586,1368,526,1284,2028,692,0,1555,3450,47,5047,5,5047,4,0,0,1,0,0
562,36.04.16.2007,36.04.16,36.04,36,4798,1588,1361,1459,486,1370,1520,947,3,1437,3277,84,4783,15,4783,10,5,0,0,0,0
563,36.04.16.2008,36.04.16,36.04,36,6153,2068,1739,1852,493,1790,1612,1601,1,1848,4178,127,6062,91,6062,69,14,0,8,0,0
564,36.04.17.2001,36.04.17,36.04,36,2727,939,804,731,380,998,1193,229,0,894,1768,65,2727,0,2727,0,0,0,0,0,0
565,36.04.17.2009,36.04.17,36.04,36,4409,1458,1266,1163,598,1460,1870,370,2,1664,2672,73,4409,0,4409,0,0,0,0,0,0
566,36.04.17.2010,36.04.17,36.04,36,4268,1435,1275,1165,482,1409,1875,282,0,1423,2819,26,4268,0,4268,0,0,0,0,0,0
567,36.04.18.2001,36.04.18,36.04,36,4411,1505,1282,1259,531,948,1599,768,3,1269,3063,79,4410,1,4410,0,1,0,0,0,0
568,36.04.18.2002,36.04.18,36.04,36,3655,1254,1129,1015,475,856,1162,817,1,1011,2558,86,3655,0,3655,0,0,0,0,0,0
569,36.04.18.2003,36.04.18,36.04,36,2088,736,674,532,311,558,789,330,3,544,1497,47,2088,0,2088,0,0,0,0,0,0
570,36.04.18.2005,36.04.18,36.04,36,3672,1221,978,1047,475,879,1365,521,1,1164,2460,48,3672,0,3672,0,0,0,0,0,0
571,36.04.18.2007,36.04.18,36.04,36,4551,1540,1380,1176,552,1054,1406,935,0,1471,3050,30,4551,0,4551,0,0,0,0,0,0
572,36.04.19.2002,36.04.19,36.04,36,3957,1364,1133,1053,567,1118,1627,388,7,1200,2668,89,3957,0,3957,0,0,0,0,0,0
573,36.04.19.2004,36.04.19,36.04,36,5172,1741,1516,1396,680,1438,2099,555,3,1485,3493,194,5172,0,5172,0,0,0,0,0,0
574,36.04.19.2009,36.04.19,36.04,36,2709,927,778,773,347,765,1110,307,2,720,1909,80,2709,0,2709,0,0,0,0,0,0
575,36.04.19.2010,36.04.19,36.04,36,2846,937,823,731,370,818,1215,233,2,864,1911,71,2845,1,2845,0,1,0,0,0,0
576,36.04.19.2013,36.04.19,36.04,36,2854,946,777,814,352,756,1114,319,5,838,1986,30,2854,0,2854,0,0,0,0,0,0
577,36.04.19.2014,36.04.19,36.04,36,3300,1077,926,908,476,830,1227,384,7,882,2192,226,3300,0,3300,0,0,0,0,0,0
578,36.04.19.2015,36.04.19,36.04,36,1884,644,540,492,251,452,812,149,0,562,1304,18,1884,0,1884,0,0,0,0,0,0
579,36.04.20.2001,36.04.20,36.04,36,4597,1552,1271,1260,644,1306,2003,364,6,1330,3109,158,4597,0,4597,0,0,0,0,0,0
580,36.04.20.2003,36.04.20,36.04,36,5473,1815,1538,1452,674,1364,2591,178,1,1741,3687,45,5472,1,5472,0,1,0,0,0,0
581,36.04.20.2006,36.04.20,36.04,36,3492,1103,1067,920,363,1202,1587,110,0,1127,2347,18,3492,0,3492,0,0,0,0,0,0
582,36.04.20.2008,36.04.20,36.04,36,5583,1792,1634,1436,691,1789,2421,300,2,1770,3696,117,5582,1,5582,1,0,0,0,0,0
583,36.04.20.2009,36.04.20,36.04,36,2168,710,632,586,289,521,968,111,0,659,1480,29,2168,0,2168,0,0,0,0,0,0
584,36.04.22.2003,36.04.22,36.04,36,5398,1629,1557,1414,624,1750,1879,636,3,1715,3608,75,5390,8,5390,2,6,0,0,0,0
585,36.04.22.2004,36.04.22,36.04,36,4476,1404,1199,1230,481,1508,1632,481,0,1456,2963,57,4475,1,4475,1,0,0,0,0,0
