,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Tidak Sekolah,Sekolah,Universitas
30595,36.73.03.1013,36.73.03,36.73,36,998.0,2297.0,110.0
30596,36.73.04.1004,36.73.04,36.73,36,1126.0,3124.0,68.0
30597,36.73.04.1007,36.73.04,36.73,36,1265.0,2742.0,40.0
30598,36.73.04.1008,36.73.04,36.73,36,1423.0,3165.0,180.0
30599,36.73.05.1001,36.73.05,36.73,36,4668.0,7755.0,2069.0
30600,36.73.05.1002,36.73.05,36.73,36,2676.0,4627.0,630.0
30601,36.73.05.1005,36.73.05,36.73,36,6695.0,10333.0,2943.0
30602,36.73.06.1004,36.73.06,36.73,36,1453.0,2779.0,116.0
30603,36.73.06.1006,36.73.06,36.73,36,2764.0,5217.0,107.0
30604,36.73.06.1011,36.73.06,36.73,36,2386.0,4260.0,471.0
30605,36.74.01.1001,36.74.01,36.74,36,7248.0,11860.0,4074.0
30606,36.74.04.1005,36.74.04,36.74,36,5067.0,11805.0,2248.0
30607,36.74.01.1002,36.74.01,36.74,36,6304.0,12549.0,7881.0
30608,36.74.01.1003,36.74.01,36.74,36,4290.0,8173.0,4044.0
30609,36.74.01.1006,36.74.01,36.74,36,4703.0,11140.0,1535.0
30610,36.74.01.1007,36.74.01,36.74,36,2650.0,5965.0,2270.0
30611,36.74.01.1008,36.74.01,36.74,36,2561.0,5844.0,1480.0
30612,36.74.02.1002,36.74.02,36.74,36,3821.0,9111.0,1779.0
30613,36.74.02.1004,36.74.02,36.74,36,4803.0,10247.0,4094.0
30614,36.74.02.1005,36.74.02,36.74,36,4940.0,9335.0,3249.0
30615,36.74.02.1006,36.74.02,36.74,36,7288.0,15689.0,7078.0
30616,36.74.02.1007,36.74.02,36.74,36,1978.0,4327.0,960.0
30617,36.74.03.1001,36.74.03,36.74,36,7157.0,20947.0,4760.0
30618,36.74.03.1003,36.74.03,36.74,36,5793.0,14543.0,4529.0
30619,36.74.03.1008,36.74.03,36.74,36,4970.0,10699.0,2813.0
30620,36.74.03.1011,36.74.03,36.74,36,6847.0,16588.0,5272.0
30621,36.74.04.1003,36.74.04,36.74,36,5822.0,15821.0,2517.0
30622,36.74.04.1006,36.74.04,36.74,36,10267.0,23614.0,4922.0
30623,36.74.05.1003,36.74.05,36.74,36,7680.0,18560.0,7843.0
30624,36.74.05.1004,36.74.05,36.74,36,5532.0,14974.0,3894.0
30625,36.74.05.1005,36.74.05,36.74,36,5353.0,16050.0,4482.0
