,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Pengangguran,Kerah Biru,Kerah Putih,Profesional
30741,36.01.23.2008,36.01.23,36.01,36,438.0,584.0,348.0,0.0
30742,36.01.24.2018,36.01.24,36.01,36,471.0,1032.0,273.0,2.0
30743,36.01.24.2014,36.01.24,36.01,36,821.0,1339.0,550.0,2.0
30744,36.01.24.2015,36.01.24,36.01,36,661.0,1522.0,622.0,3.0
30745,36.01.24.2017,36.01.24,36.01,36,473.0,901.0,452.0,0.0
30746,36.01.25.1001,36.01.25,36.01,36,2007.0,2026.0,2133.0,27.0
30747,36.01.25.1003,36.01.25,36.01,36,1869.0,2211.0,1674.0,19.0
30748,36.01.25.1014,36.01.25,36.01,36,1785.0,2057.0,1701.0,4.0
30749,36.01.28.2001,36.01.28,36.01,36,488.0,1240.0,824.0,2.0
30750,36.01.26.2002,36.01.26,36.01,36,520.0,767.0,579.0,0.0
30751,36.01.26.2003,36.01.26,36.01,36,1152.0,1420.0,1326.0,10.0
30752,36.01.26.2005,36.01.26,36.01,36,1221.0,1595.0,1288.0,19.0
30753,36.01.26.2007,36.01.26,36.01,36,398.0,646.0,565.0,1.0
30754,36.01.27.2004,36.01.27,36.01,36,815.0,1140.0,511.0,2.0
30755,36.01.27.2008,36.01.27,36.01,36,276.0,670.0,118.0,0.0
30756,36.01.27.2009,36.01.27,36.01,36,325.0,665.0,192.0,0.0
30757,36.01.28.2008,36.01.28,36.01,36,500.0,876.0,191.0,0.0
30758,36.01.28.2009,36.01.28,36.01,36,345.0,502.0,235.0,1.0
30759,36.01.29.2001,36.01.29,36.01,36,425.0,905.0,150.0,2.0
30760,36.01.33.2001,36.01.33,36.01,36,462.0,531.0,333.0,2.0
30761,36.01.29.2010,36.01.29,36.01,36,643.0,1577.0,279.0,1.0
30762,36.04.35.2008,36.04.35,36.04,36,1067.0,1392.0,150.0,1.0
30763,36.01.30.2005,36.01.30,36.01,36,422.0,721.0,451.0,0.0
30764,36.01.30.2007,36.01.30,36.01,36,552.0,569.0,365.0,0.0
30765,36.01.30.2008,36.01.30,36.01,36,541.0,820.0,547.0,0.0
30766,36.01.32.2007,36.01.32,36.01,36,640.0,932.0,370.0,0.0
30767,36.01.31.2003,36.01.31,36.01,36,785.0,1428.0,609.0,3.0
30768,36.01.31.2005,36.01.31,36.01,36,405.0,856.0,270.0,5.0
30769,36.01.31.2007,36.01.31,36.01,36,412.0,942.0,387.0,0.0
30770,36.01.31.2008,36.01.31,36.01,36,440.0,802.0,455.0,3.0
30771,36.01.32.2004,36.01.32,36.01,36,1065.0,969.0,416.0,4.0
30772,36.01.33.2003,36.01.33,36.01,36,286.0,430.0,269.0,0.0
30773,36.01.33.2006,36.01.33,36.01,36,562.0,564.0,449.0,4.0
30774,36.01.33.2010,36.01.33,36.01,36,372.0,462.0,345.0,1.0
30775,36.01.33.2011,36.01.33,36.01,36,287.0,444.0,225.0,0.0
30776,36.01.33.2012,36.01.33,36.01,36,331.0,332.0,295.0,2.0
30777,36.01.34.1001,36.01.34,36.01,36,2937.0,2946.0,3176.0,27.0
30778,36.01.35.2001,36.01.35,36.01,36,1194.0,2713.0,722.0,4.0
30779,36.02.09.2019,36.02.09,36.02,36,487.0,954.0,314.0,3.0
30780,36.01.35.2002,36.01.35,36.01,36,855.0,1639.0,807.0,7.0
30781,36.01.35.2004,36.01.35,36.01,36,803.0,1711.0,1035.0,13.0
30782,36.02.01.2013,36.02.01,36.02,36,1036.0,1734.0,443.0,5.0
30783,36.02.01.2014,36.02.01,36.02,36,1530.0,2794.0,838.0,4.0
30784,36.02.01.2018,36.02.01,36.02,36,932.0,1294.0,973.0,11.0
30785,36.02.01.2023,36.02.01,36.02,36,1290.0,2056.0,781.0,5.0
30786,36.02.02.2002,36.02.02,36.02,36,740.0,1471.0,679.0,11.0
30787,36.02.02.2009,36.02.02,36.02,36,478.0,1457.0,145.0,2.0
30788,36.02.02.2011,36.02.02,36.02,36,750.0,2057.0,429.0,1.0
30789,36.02.02.2017,36.02.02,36.02,36,374.0,665.0,331.0,11.0
30790,36.02.09.2021,36.02.09,36.02,36,292.0,684.0,116.0,0.0
30791,36.02.02.2018,36.02.02,36.02,36,625.0,1125.0,523.0,7.0
30792,36.02.02.2019,36.02.02,36.02,36,452.0,1205.0,200.0,3.0
30793,36.02.03.2001,36.02.03,36.02,36,1830.0,2416.0,1569.0,16.0
30794,36.02.03.2002,36.02.03,36.02,36,1039.0,1998.0,766.0,5.0
30795,36.02.03.2011,36.02.03,36.02,36,809.0,1082.0,613.0,2.0
30796,36.02.03.2013,36.02.03,36.02,36,1233.0,2148.0,930.0,4.0
30797,36.02.03.2014,36.02.03,36.02,36,582.0,1520.0,389.0,0.0
30798,36.02.03.2017,36.02.03,36.02,36,459.0,897.0,278.0,0.0
30799,36.02.05.2006,36.02.05,36.02,36,678.0,1305.0,244.0,0.0
30800,36.02.03.2018,36.02.03,36.02,36,917.0,1613.0,762.0,4.0
30801,36.02.04.2009,36.02.04,36.02,36,926.0,1520.0,609.0,2.0
30802,36.02.04.2016,36.02.04,36.02,36,1096.0,1335.0,293.0,0.0
30803,36.02.04.2020,36.02.04,36.02,36,648.0,961.0,273.0,2.0
30804,36.02.05.2003,36.02.05,36.02,36,547.0,1174.0,233.0,0.0
30805,36.02.05.2004,36.02.05,36.02,36,998.0,1430.0,540.0,15.0
30806,36.02.05.2005,36.02.05,36.02,36,867.0,1425.0,359.0,3.0
30807,36.02.05.2007,36.02.05,36.02,36,724.0,1144.0,305.0,0.0
30808,36.02.05.2008,36.02.05,36.02,36,693.0,1451.0,205.0,0.0
30809,36.02.05.2012,36.02.05,36.02,36,816.0,1400.0,256.0,0.0
30810,36.02.05.2019,36.02.05,36.02,36,728.0,1074.0,278.0,2.0
30811,36.02.06.2004,36.02.06,36.02,36,1228.0,1965.0,479.0,0.0
30812,36.02.17.2011,36.02.17,36.02,36,723.0,1246.0,289.0,2.0
30813,36.02.06.2006,36.02.06,36.02,36,675.0,1645.0,185.0,0.0
30814,36.02.06.2007,36.02.06,36.02,36,1281.0,2102.0,939.0,0.0
30815,36.02.06.2009,36.02.06,36.02,36,510.0,755.0,218.0,0.0
30816,36.02.06.2010,36.02.06,36.02,36,1179.0,1953.0,303.0,4.0
30817,36.02.06.2011,36.02.06,36.02,36,809.0,1775.0,221.0,2.0
30818,36.02.07.2004,36.02.07,36.02,36,529.0,1003.0,438.0,10.0
30819,36.02.07.2008,36.02.07,36.02,36,306.0,916.0,186.0,0.0
30820,36.02.07.2012,36.02.07,36.02,36,541.0,1532.0,144.0,1.0
30821,36.02.07.2014,36.02.07,36.02,36,377.0,1279.0,195.0,0.0
30822,36.02.09.2020,36.02.09,36.02,36,412.0,889.0,246.0,0.0
30823,36.02.07.2017,36.02.07,36.02,36,218.0,670.0,60.0,0.0
30824,36.02.08.2001,36.02.08,36.02,36,777.0,1405.0,602.0,15.0
30825,36.02.08.2002,36.02.08,36.02,36,548.0,1101.0,264.0,1.0
30826,36.02.08.2004,36.02.08,36.02,36,689.0,1143.0,317.0,0.0
30827,36.02.08.2005,36.02.08,36.02,36,932.0,1662.0,833.0,0.0
30828,36.02.08.2009,36.02.08,36.02,36,546.0,1165.0,351.0,4.0
30829,36.02.09.2003,36.02.09,36.02,36,685.0,1116.0,511.0,8.0
30830,36.02.08.2011,36.02.08,36.02,36,947.0,1565.0,367.0,1.0
30831,36.02.08.2012,36.02.08,36.02,36,473.0,1104.0,56.0,0.0
30832,36.02.09.2001,36.02.09,36.02,36,892.0,1437.0,443.0,2.0
30833,36.02.09.2002,36.02.09,36.02,36,548.0,1074.0,322.0,0.0
30834,36.02.09.2004,36.02.09,36.02,36,542.0,1182.0,207.0,0.0
30835,36.02.09.2005,36.02.09,36.02,36,797.0,1849.0,501.0,0.0
30836,36.02.09.2006,36.02.09,36.02,36,1129.0,1890.0,582.0,4.0
30837,36.02.09.2009,36.02.09,36.02,36,691.0,1356.0,763.0,2.0
30838,36.02.09.2011,36.02.09,36.02,36,558.0,1192.0,627.0,1.0
30839,36.02.09.2013,36.02.09,36.02,36,753.0,1457.0,419.0,4.0
30840,36.02.09.2014,36.02.09,36.02,36,716.0,1467.0,446.0,0.0
30841,36.02.09.2017,36.02.09,36.02,36,770.0,1501.0,339.0,2.0
30842,36.02.10.2001,36.02.10,36.02,36,860.0,1653.0,513.0,0.0
30843,36.02.10.2003,36.02.10,36.02,36,863.0,1555.0,246.0,4.0
30844,36.02.10.2004,36.02.10,36.02,36,918.0,1949.0,512.0,3.0
30845,36.02.12.2001,36.02.12,36.02,36,964.0,1559.0,302.0,2.0
30846,36.02.10.2012,36.02.10,36.02,36,1340.0,2687.0,469.0,2.0
30847,36.02.11.2002,36.02.11,36.02,36,1053.0,2031.0,280.0,2.0
30848,36.02.11.2003,36.02.11,36.02,36,1191.0,2481.0,362.0,3.0
30849,36.02.12.2002,36.02.12,36.02,36,836.0,1056.0,579.0,2.0
30850,36.02.11.2005,36.02.11,36.02,36,1042.0,1888.0,345.0,11.0
30851,36.02.11.2009,36.02.11,36.02,36,828.0,1886.0,103.0,2.0
30852,36.02.11.2010,36.02.11,36.02,36,931.0,1695.0,224.0,1.0
30853,36.02.11.2012,36.02.11,36.02,36,993.0,1900.0,238.0,0.0
30854,36.71.07.1003,36.71.07,36.71,36,2543.0,2635.0,6145.0,79.0
30855,36.02.11.2013,36.02.11,36.02,36,659.0,1329.0,266.0,0.0
30856,36.02.11.2014,36.02.11,36.02,36,791.0,1777.0,369.0,8.0
30857,36.02.11.2015,36.02.11,36.02,36,879.0,1749.0,257.0,0.0
30858,36.02.12.2012,36.02.12,36.02,36,468.0,722.0,240.0,0.0
30859,36.02.11.2016,36.02.11,36.02,36,788.0,1624.0,201.0,0.0
30860,36.02.11.2017,36.02.11,36.02,36,743.0,1667.0,145.0,0.0
30861,36.02.12.2003,36.02.12,36.02,36,727.0,1222.0,497.0,0.0
30862,36.02.12.2005,36.02.12,36.02,36,1081.0,1739.0,718.0,10.0
30863,36.02.12.2006,36.02.12,36.02,36,858.0,1366.0,361.0,1.0
30864,36.02.12.2009,36.02.12,36.02,36,1100.0,1700.0,512.0,6.0
30865,36.02.12.2011,36.02.12,36.02,36,736.0,1127.0,393.0,2.0
30866,36.02.13.2005,36.02.13,36.02,36,861.0,1470.0,359.0,6.0
30867,36.02.13.2007,36.02.13,36.02,36,935.0,1845.0,410.0,0.0
30868,36.02.13.2008,36.02.13,36.02,36,942.0,1754.0,677.0,1.0
30869,36.02.13.2009,36.02.13,36.02,36,677.0,1390.0,211.0,5.0
30870,36.02.13.2015,36.02.13,36.02,36,1375.0,2515.0,639.0,9.0
30871,36.02.13.2016,36.02.13,36.02,36,1346.0,2108.0,656.0,8.0
30872,36.02.13.2020,36.02.13,36.02,36,922.0,1448.0,331.0,2.0
30873,36.02.13.2023,36.02.13,36.02,36,800.0,1107.0,622.0,4.0
30874,36.02.14.1002,36.02.14,36.02,36,1768.0,2313.0,1699.0,38.0
30875,36.02.14.1006,36.02.14,36.02,36,2983.0,3974.0,2315.0,19.0
30876,36.02.14.1007,36.02.14,36.02,36,2286.0,3164.0,1950.0,39.0
30877,36.02.14.1008,36.02.14,36.02,36,2475.0,3724.0,2020.0,51.0
30878,36.02.14.1012,36.02.14,36.02,36,4469.0,5930.0,5133.0,110.0
30879,36.02.14.2001,36.02.14,36.02,36,1404.0,1993.0,571.0,1.0
30880,36.02.14.2011,36.02.14,36.02,36,1020.0,1968.0,306.0,3.0
30881,36.02.14.2016,36.02.14,36.02,36,1196.0,2162.0,446.0,3.0
30882,36.02.14.2019,36.02.14,36.02,36,1197.0,1879.0,597.0,4.0
30883,36.02.15.2001,36.02.15,36.02,36,1373.0,2403.0,689.0,4.0
30884,36.02.15.2006,36.02.15,36.02,36,1541.0,2274.0,525.0,5.0
30885,36.02.18.2008,36.02.18,36.02,36,935.0,1637.0,347.0,0.0
30886,36.02.15.2010,36.02.15,36.02,36,1355.0,1759.0,895.0,22.0
30887,36.02.15.2011,36.02.15,36.02,36,894.0,1572.0,464.0,1.0
