,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
30809,36.02.05.2012,36.02.05,36.02,36,3183.0,985.0
30810,36.02.05.2019,36.02.05,36.02,36,2650.0,820.0
30811,36.02.06.2004,36.02.06,36.02,36,4517.0,1485.0
30812,36.02.17.2011,36.02.17,36.02,36,2850.0,904.0
30813,36.02.06.2006,36.02.06,36.02,36,3046.0,1046.0
30814,36.02.06.2007,36.02.06,36.02,36,5094.0,1647.0
30815,36.02.06.2009,36.02.06,36.02,36,1842.0,542.0
30816,36.02.06.2010,36.02.06,36.02,36,3945.0,1355.0
30817,36.02.06.2011,36.02.06,36.02,36,3513.0,1139.0
30818,36.02.07.2004,36.02.07,36.02,36,2682.0,926.0
30819,36.02.07.2008,36.02.07,36.02,36,1713.0,595.0
30820,36.02.07.2012,36.02.07,36.02,36,2736.0,968.0
30821,36.02.07.2014,36.02.07,36.02,36,2281.0,845.0
30822,36.02.09.2020,36.02.09,36.02,36,1986.0,653.0
30823,36.02.07.2017,36.02.07,36.02,36,1162.0,408.0
30824,36.02.08.2001,36.02.08,36.02,36,3612.0,1211.0
30825,36.02.08.2002,36.02.08,36.02,36,2426.0,820.0
30826,36.02.08.2004,36.02.08,36.02,36,2635.0,896.0
30827,36.02.08.2005,36.02.08,36.02,36,4428.0,1408.0
30828,36.02.08.2009,36.02.08,36.02,36,2542.0,869.0
30829,36.02.09.2003,36.02.09,36.02,36,3218.0,1121.0
30830,36.02.08.2011,36.02.08,36.02,36,3768.0,1242.0
30831,36.02.08.2012,36.02.08,36.02,36,1999.0,697.0
30832,36.02.09.2001,36.02.09,36.02,36,3542.0,1180.0
30833,36.02.09.2002,36.02.09,36.02,36,2471.0,834.0
30834,36.02.09.2004,36.02.09,36.02,36,2407.0,836.0
30835,36.02.09.2005,36.02.09,36.02,36,4098.0,1361.0
30836,36.02.09.2006,36.02.09,36.02,36,4623.0,1470.0
30837,36.02.09.2009,36.02.09,36.02,36,3569.0,1168.0
30838,36.02.09.2011,36.02.09,36.02,36,2966.0,1039.0
30839,36.02.09.2013,36.02.09,36.02,36,3255.0,1120.0
30840,36.02.09.2014,36.02.09,36.02,36,3136.0,1060.0
30841,36.02.09.2017,36.02.09,36.02,36,3382.0,1133.0
30842,36.02.10.2001,36.02.10,36.02,36,3670.0,1304.0
30843,36.02.10.2003,36.02.10,36.02,36,3455.0,1161.0
30844,36.02.10.2004,36.02.10,36.02,36,4339.0,1453.0
30845,36.02.12.2001,36.02.12,36.02,36,3633.0,1171.0
30846,36.02.10.2012,36.02.10,36.02,36,5947.0,1869.0
30847,36.02.11.2002,36.02.11,36.02,36,4226.0,1338.0
30848,36.02.11.2003,36.02.11,36.02,36,5090.0,1654.0
30849,36.02.12.2002,36.02.12,36.02,36,3211.0,1062.0
30850,36.02.11.2005,36.02.11,36.02,36,4220.0,1367.0
30851,36.02.11.2009,36.02.11,36.02,36,3543.0,1141.0
30852,36.02.11.2010,36.02.11,36.02,36,3471.0,1129.0
30853,36.02.11.2012,36.02.11,36.02,36,3938.0,1213.0
30854,36.71.07.1003,36.71.07,36.71,36,15343.0,5168.0
30855,36.02.11.2013,36.02.11,36.02,36,2542.0,862.0
30856,36.02.11.2014,36.02.11,36.02,36,3757.0,1249.0
30857,36.02.11.2015,36.02.11,36.02,36,3553.0,1158.0
30858,36.02.12.2012,36.02.12,36.02,36,1746.0,586.0
30859,36.02.11.2016,36.02.11,36.02,36,3392.0,987.0
30860,36.02.11.2017,36.02.11,36.02,36,3346.0,1002.0
30861,36.02.12.2003,36.02.12,36.02,36,3029.0,1052.0
30862,36.02.12.2005,36.02.12,36.02,36,4789.0,1500.0
30863,36.02.12.2006,36.02.12,36.02,36,3364.0,1049.0
30864,36.02.12.2009,36.02.12,36.02,36,4435.0,1356.0
30865,36.02.12.2011,36.02.12,36.02,36,3032.0,970.0
30866,36.02.13.2005,36.02.13,36.02,36,3297.0,1102.0
30867,36.02.13.2007,36.02.13,36.02,36,4003.0,1322.0
30868,36.02.13.2008,36.02.13,36.02,36,4264.0,1418.0
30869,36.02.13.2009,36.02.13,36.02,36,2904.0,943.0
