,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
30291,36.03.16.2003,36.03.16,36.03,36,11502.0,93.0,11502.0,57.0,27.0,1.0,8.0,0.0,0.0
30292,36.03.16.2008,36.03.16,36.03,36,9747.0,347.0,9747.0,210.0,67.0,2.0,68.0,0.0,0.0
30293,36.03.16.2012,36.03.16,36.03,36,7774.0,19.0,7774.0,12.0,1.0,0.0,5.0,0.0,1.0
30294,36.03.16.2015,36.03.16,36.03,36,10303.0,120.0,10303.0,86.0,8.0,1.0,25.0,0.0,0.0
30295,36.03.17.1005,36.03.17,36.03,36,14384.0,1619.0,14384.0,887.0,281.0,13.0,431.0,5.0,2.0
30296,36.03.17.1006,36.03.17,36.03,36,41740.0,10085.0,41740.0,5906.0,2873.0,125.0,1164.0,17.0,0.0
30297,36.03.17.2002,36.03.17,36.03,36,11733.0,1433.0,11733.0,452.0,112.0,11.0,857.0,1.0,0.0
30298,36.03.17.2003,36.03.17,36.03,36,24872.0,1216.0,24872.0,608.0,334.0,9.0,265.0,0.0,0.0
30299,36.03.17.2004,36.03.17,36.03,36,15432.0,467.0,15432.0,290.0,94.0,6.0,77.0,0.0,0.0
30300,36.03.18.1001,36.03.18,36.03,36,21366.0,882.0,21366.0,468.0,321.0,15.0,77.0,0.0,1.0
30301,36.03.18.2002,36.03.18,36.03,36,9635.0,143.0,9635.0,87.0,39.0,1.0,16.0,0.0,0.0
30302,36.03.18.2005,36.03.18,36.03,36,16224.0,455.0,16224.0,329.0,54.0,1.0,66.0,1.0,4.0
30303,36.03.18.2010,36.03.18,36.03,36,15327.0,382.0,15327.0,257.0,88.0,0.0,36.0,1.0,0.0
30304,36.03.18.2013,36.03.18,36.03,36,4708.0,23.0,4708.0,16.0,1.0,0.0,6.0,0.0,0.0
30305,36.03.18.2014,36.03.18,36.03,36,13192.0,162.0,13192.0,132.0,18.0,0.0,12.0,0.0,0.0
30306,36.03.19.2003,36.03.19,36.03,36,9649.0,302.0,9649.0,165.0,89.0,0.0,44.0,4.0,0.0
30307,36.03.20.2006,36.03.20,36.03,36,11352.0,1066.0,11352.0,711.0,246.0,15.0,91.0,3.0,0.0
30308,36.03.19.2004,36.03.19,36.03,36,6773.0,287.0,6773.0,46.0,20.0,0.0,218.0,3.0,0.0
30309,36.03.19.2006,36.03.19,36.03,36,6647.0,320.0,6647.0,31.0,14.0,0.0,274.0,1.0,0.0
30310,36.03.19.2007,36.03.19,36.03,36,22725.0,4210.0,22725.0,1905.0,919.0,56.0,1292.0,35.0,3.0
30311,36.03.19.2008,36.03.19,36.03,36,14620.0,1422.0,14620.0,719.0,328.0,10.0,257.0,108.0,0.0
30312,36.03.20.1011,36.03.20,36.03,36,11664.0,749.0,11664.0,409.0,163.0,9.0,168.0,0.0,0.0
30313,36.03.20.2005,36.03.20,36.03,36,5689.0,66.0,5689.0,4.0,3.0,0.0,58.0,1.0,0.0
30314,36.03.20.2007,36.03.20,36.03,36,10545.0,500.0,10545.0,212.0,31.0,0.0,254.0,3.0,0.0
30315,36.03.20.2009,36.03.20,36.03,36,12602.0,270.0,12602.0,183.0,65.0,14.0,8.0,0.0,0.0
30316,36.03.22.1004,36.03.22,36.03,36,13869.0,3577.0,13869.0,1836.0,1204.0,64.0,470.0,3.0,0.0
30317,36.03.22.2002,36.03.22,36.03,36,5975.0,123.0,5975.0,49.0,38.0,2.0,34.0,0.0,0.0
30318,36.03.22.2007,36.03.22,36.03,36,7335.0,519.0,7335.0,185.0,126.0,1.0,204.0,0.0,3.0
30319,36.03.22.2011,36.03.22,36.03,36,6677.0,227.0,6677.0,106.0,30.0,0.0,91.0,0.0,0.0
30320,36.03.23.2003,36.03.23,36.03,36,6236.0,5.0,6236.0,1.0,2.0,0.0,2.0,0.0,0.0
30321,36.03.23.2005,36.03.23,36.03,36,23478.0,2171.0,23478.0,1466.0,352.0,22.0,320.0,11.0,0.0
30322,36.03.23.2009,36.03.23,36.03,36,5590.0,433.0,5590.0,95.0,10.0,1.0,322.0,4.0,1.0
